petal_length,petal_width,name
1.4,0.2,violet
1.4,0.2,violet
1.3,0.2,violet
1.5,0.2,violet
1.4,0.2,violet
1.7,0.4,violet
1.4,0.3,violet
1.5,0.2,violet
1.4,0.2,violet
1.7,0.5,violet
1.9,0.2,violet
1.6,0.2,violet
1.6,0.4,violet
1.5,0.2,violet
1.4,0.2,violet
1.6,0.2,violet
1.6,0.2,violet
1.5,0.4,violet
1.5,0.1,violet
1.4,0.2,violet
1.5,0.1,violet
1.2,0.2,violet
1.3,0.2,violet
1.5,0.1,violet
1.3,0.2,violet
1.6,0.6,violet
1.9,0.4,violet
1.4,0.3,violet
1.6,0.2,violet
1.4,0.2,violet
1.5,0.2,violet
1.4,0.2,violet
4.7,1.4,bluebells
4.5,1.5,bluebells
4.9,1.5,bluebells
4,1.3,bluebells
4.2,1.5,bluebells
4,1,bluebells
4.7,1.4,bluebells
3.6,1.3,bluebells
4.4,1.4,bluebells
4.5,1.5,bluebells
4.1,1,bluebells
4.5,1.5,bluebells
3.9,1.1,bluebells
4.8,1.8,bluebells
4,1.3,bluebells
4.9,1.5,bluebells
4.7,1.2,bluebells
4.3,1.3,bluebells
4.4,1.4,bluebells
4.8,1.4,bluebells
5,1.7,bluebells
4.5,1.5,bluebells
3.5,1,bluebells
3.8,1.1,bluebells
3.7,1,bluebells
3.9,1.2,bluebells
5.1,1.6,bluebells
4.5,1.5,bluebells
4,1.3,bluebells
4.4,1.2,bluebells
4.6,1.4,bluebells
4,1.2,bluebells
3.3,1,bluebells
4.2,1.3,bluebells
4.2,1.2,bluebells
4.2,1.3,bluebells
4.3,1.3,bluebells
3,1.1,bluebells
4.1,1.3,bluebells
6,2.5,Colorado lotus
5.1,1.9,Colorado lotus
5.9,2.1,Colorado lotus
5.6,1.8,Colorado lotus
5.8,2.2,Colorado lotus
6.6,2.1,Colorado lotus
4.5,1.7,Colorado lotus
5.3,2.3,Colorado lotus
5.5,1.8,Colorado lotus
6.7,2.2,Colorado lotus
6.9,2.3,Colorado lotus
5,1.5,Colorado lotus
5.7,2.3,Colorado lotus
4.9,2,Colorado lotus
6.7,2,Colorado lotus
4.9,1.8,Colorado lotus
5.7,2.1,Colorado lotus
6,1.8,Colorado lotus
5.1,1.5,Colorado lotus
5.6,1.4,Colorado lotus
6.1,2.3,Colorado lotus
5.6,2.4,Colorado lotus
5.5,1.8,Colorado lotus
4.8,1.8,Colorado lotus
5.4,2.1,Colorado lotus
5.6,2.4,Colorado lotus
5.1,2.3,Colorado lotus
5.1,1.9,Colorado lotus
5.9,2.3,Colorado lotus
5.7,2.5,Colorado lotus
5.2,2.3,Colorado lotus
5,1.9,Colorado lotus
5.2,2,Colorado lotus
5.4,2.3,Colorado lotus
5.1,1.8,Colorado lotus
